ave_i:0.00193541 dif_i:0.00587106 dura:0.0909641 num:48
ave_i:0.00199097 dif_i:0.0059731 dura:0.079639 num:41
ave_i:0.00166118 dif_i:0.00487709 dura:0.00996709 num:7
ave_i:0.00200955 dif_i:0.00593305 dura:0.0763628 num:39
ave_i:0.00151316 dif_i:0.00491905 dura:0.00907898 num:7
ave_i:0.00155579 dif_i:0.00490999 dura:0.0140021 num:10
ave_i:0.00171049 dif_i:0.00585508 dura:0.0205259 num:13
ave_i:0.00198641 dif_i:0.00591493 dura:0.00993204 num:6
ave_i:0.00192395 dif_i:0.00601721 dura:0.125057 num:66
ave_i:0.00199164 dif_i:0.00593281 dura:0.021908 num:12
ave_i:0.00195107 dif_i:0.00595593 dura:0.119015 num:62
ave_i:0.0021004 dif_i:0.00592113 dura:0.021004 num:11
ave_i:0.001993 dif_i:0.00583005 dura:0.023916 num:13
ave_i:0.001826 dif_i:0.00585389 dura:0.0200861 num:12
ave_i:0.00207341 dif_i:0.00599313 dura:0.0248809 num:13
ave_i:0.00172762 dif_i:0.00591302 dura:0.0190039 num:12
ave_i:0.0019179 dif_i:0.0067997 dura:0.0210969 num:12
ave_i:0.00182555 dif_i:0.00588393 dura:0.020081 num:12
ave_i:0.00214319 dif_i:0.00587678 dura:0.010716 num:6
ave_i:0.00189966 dif_i:0.00598192 dura:0.0949831 num:51
ave_i:0.001973 dif_i:0.0059371 dura:0.0789199 num:41
ave_i:0.0016941 dif_i:0.00503111 dura:0.0152469 num:10
ave_i:0.00191792 dif_i:0.00585628 dura:0.023015 num:13
ave_i:0.00192484 dif_i:0.00592184 dura:0.025023 num:14
ave_i:0.00196567 dif_i:0.00679398 dura:0.171013 num:88
ave_i:0.00217275 dif_i:0.00599694 dura:0.026073 num:13
ave_i:0.00211402 dif_i:0.00593615 dura:0.0253682 num:13
ave_i:0.00178231 dif_i:0.00586033 dura:0.0160408 num:10
ave_i:0.00191716 dif_i:0.00589323 dura:0.0249231 num:14
ave_i:0.00229287 dif_i:0.00602102 dura:0.0160501 num:8
ave_i:0.00208292 dif_i:0.00578809 dura:0.0249951 num:13
ave_i:0.00200446 dif_i:0.00583792 dura:0.026058 num:14
ave_i:0.00223547 dif_i:0.00484681 dura:0.00894189 num:5
ave_i:0.00142557 dif_i:0.00481892 dura:0.00997901 num:8
ave_i:0.00200655 dif_i:0.00596499 dura:0.150491 num:76
ave_i:0.00190171 dif_i:0.00591183 dura:0.0209188 num:12
ave_i:0.0019834 dif_i:0.00578785 dura:0.00991702 num:6
ave_i:0.00121623 dif_i:0.00463915 dura:0.00486493 num:5
ave_i:0.00182464 dif_i:0.00585198 dura:0.020071 num:12
ave_i:0.00158626 dif_i:0.00485682 dura:0.0190351 num:13
ave_i:0.00192389 dif_i:0.00585198 dura:0.0769558 num:41
ave_i:0.00188719 dif_i:0.00590706 dura:0.06039 num:33
ave_i:0.00101703 dif_i:0.00377393 dura:0.00406814 num:5
ave_i:0.00186715 dif_i:0.00487804 dura:0.0149372 num:9
ave_i:0.00199339 dif_i:0.00582004 dura:0.0199339 num:11
ave_i:0.00196383 dif_i:0.00589275 dura:0.070698 num:37
ave_i:0.00188613 dif_i:0.00582004 dura:0.05847 num:32
ave_i:0.00158787 dif_i:0.00584412 dura:0.0111151 num:8
ave_i:0.0015895 dif_i:0.00593209 dura:0.019074 num:13
ave_i:0.00221092 dif_i:0.00583887 dura:0.0309529 num:15
ave_i:0.00196658 dif_i:0.00668192 dura:0.175026 num:90
ave_i:0.00136815 dif_i:0.00486207 dura:0.00957704 num:8
ave_i:0.00182772 dif_i:0.00583315 dura:0.0201049 num:12
ave_i:0.00199471 dif_i:0.004879 dura:0.013963 num:8
ave_i:0.00181001 dif_i:0.00580287 dura:0.0199101 num:12
ave_i:0.00174816 dif_i:0.00581813 dura:0.020978 num:13
ave_i:0.00179729 dif_i:0.00589371 dura:0.0197701 num:12
ave_i:0.00193882 dif_i:0.00590897 dura:0.0950022 num:50
ave_i:0.00182199 dif_i:0.00587797 dura:0.0200419 num:12
ave_i:0.00189154 dif_i:0.0058949 dura:0.02459 num:14
ave_i:0.0018081 dif_i:0.00585318 dura:0.0198891 num:12
