ipsrc,ipdst,portsrc,portdst,pktcnt,pktlen,itvl,bw,thp,
10.122.238.72,180.184.169.59,55103,80,675,468.348,0.014793,31707.1,67.6999,
10.122.238.72,180.184.169.59,55103,80,701,512.739,0.0142701,35982.3,70.1766,
10.122.238.72,180.184.169.59,55103,80,685,486.314,0.0145646,33439,68.7602,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.97162,1137.43,0.200569,
10.122.238.72,180.184.169.59,55103,80,666,2629.02,0.0150124,175386,66.7118,
10.122.238.72,180.184.169.59,55103,80,691,361.795,0.0144284,25111.4,69.408,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.97961,1136.52,0.200409,
10.122.238.72,180.184.169.59,55103,80,453,737.998,0.0220374,33562.4,45.4777,
10.122.238.72,180.184.169.59,55103,80,601,2835.27,0.0166519,170551,60.1533,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.98284,1136.15,0.200344,
10.122.238.72,180.184.169.59,55103,80,422,3941.26,0.0236329,167166,42.4143,
10.122.238.72,180.184.169.59,55103,80,596,347.854,0.016797,20744.2,59.6347,
10.122.238.72,180.184.169.59,55103,80,266,5465.11,0.0377108,145469,26.6177,
10.122.238.72,180.184.169.59,55103,80,756,383.399,0.0132171,29046.2,75.7596,
10.122.238.72,180.184.169.59,55103,80,743,450.686,0.0133032,33923.7,75.2712,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.95254,1139.61,0.200954,
10.122.238.72,180.184.169.59,55103,80,635,421.858,0.0157339,26854.4,63.6573,
10.122.238.72,180.184.169.59,55103,80,640,1832.51,0.0151191,121395,66.245,
10.122.238.72,180.184.169.59,55103,80,448,586.308,0.0223116,26336.9,44.9199,
10.122.238.72,180.184.169.59,55103,80,827,2135.19,0.0117,182716,85.5732,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.78539,1159.08,0.204386,
10.122.238.72,180.184.169.59,55103,80,585,569.244,0.0170822,33380.9,58.6408,
10.122.238.72,180.184.169.59,55103,80,871,394.224,0.0113431,34794.4,88.2604,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.98135,1136.32,0.200374,
10.122.238.72,180.184.169.59,55103,80,525,490.51,0.019047,25801.8,52.6019,
10.122.238.72,180.184.169.59,55103,80,682,454.449,0.0146611,31042.5,68.308,
10.122.238.72,180.184.169.59,55103,80,368,3658.75,0.0271905,134927,36.8778,
10.122.238.72,180.184.169.59,55103,80,557,392.431,0.0179743,21872.1,55.7349,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.87326,1148.76,0.202567,
10.122.238.72,180.184.169.59,55103,80,497,365.368,0.02016,18160,49.7033,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.9526,1139.6,0.200952,
10.122.238.72,180.184.169.59,55103,80,518,3294.24,0.0193047,170974,51.901,
10.122.238.72,180.184.169.59,55103,80,416,3228.19,0.0240875,134343,41.6154,
10.122.238.72,180.184.169.59,55103,80,406,593.131,0.0246582,24113.4,40.6545,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.98217,1136.23,0.200357,
10.122.238.72,180.184.169.59,55103,80,591,357.746,0.0169443,21148.8,59.1168,
10.122.238.72,180.184.169.59,55103,80,281,509.762,0.0356358,14355.8,28.1619,
10.122.238.72,180.184.169.59,55103,80,734,408.986,0.0135538,30216.2,73.8806,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.99843,1134.38,0.200032,
10.122.238.72,180.184.169.59,55103,80,411,491.764,0.0242893,20295.5,41.2709,
10.122.238.72,180.184.169.59,55103,80,419,3896.69,0.0238776,163585,41.9804,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.79075,1158.44,0.204275,
10.122.238.72,180.184.169.59,55103,80,477,566.266,0.0210006,27020.9,47.7176,
10.122.238.72,180.184.169.59,55103,80,465,548.391,0.0214974,25564.6,46.6174,
10.122.238.72,180.184.169.59,55103,80,357,4509.75,0.0279429,161845,35.8878,
10.122.238.72,180.184.169.59,55103,80,563,2506.63,0.0176453,142309,56.773,
10.122.238.72,180.184.169.59,55103,80,238,328.508,0.0417579,7900.18,24.0486,
10.122.238.72,180.184.169.59,55103,50000,2,5671,9.98026,1136.44,0.200396,
10.122.238.72,180.184.169.59,55103,80,681,413.598,0.0146673,28240.1,68.2792,
10.122.238.72,180.184.169.59,55103,80,821,414.742,0.0121303,34232.2,82.5385,
