ave_i:0.0419512 dif_i:0.033119 dura:1.72 num:42
ave_i:0.0432983 dif_i:0.0330431 dura:1.94843 num:46
ave_i:0.0764017 dif_i:0.130648 dura:0.764017 num:11
ave_i:0.0468626 dif_i:0.045085 dura:0.656076 num:15
ave_i:0.0782723 dif_i:0.168348 dura:1.4089 num:19
ave_i:0.0494828 dif_i:0.136559 dura:1.97931 num:41
ave_i:0.0587977 dif_i:0.166812 dura:1.17595 num:21
ave_i:0.0533712 dif_i:0.139047 dura:0.800568 num:16
ave_i:0.0797625 dif_i:0.090986 dura:0.31905 num:5
ave_i:0.0774893 dif_i:0.0610619 dura:0.309957 num:5
ave_i:0.0360422 dif_i:0.0398948 dura:1.11731 num:32
ave_i:0.0435804 dif_i:0.112094 dura:1.5689 num:37
ave_i:0.0480513 dif_i:0.0795612 dura:3.4597 num:73
ave_i:0.0491158 dif_i:0.061969 dura:0.9332 num:20
ave_i:0.0469265 dif_i:0.0611598 dura:0.516192 num:12
ave_i:0.0316492 dif_i:0.00789404 dura:1.61411 num:52
ave_i:0.0359277 dif_i:0.163678 dura:1.79638 num:51
ave_i:0.0322627 dif_i:0.00805902 dura:0.871093 num:28
ave_i:0.0307927 dif_i:0.00703788 dura:1.72439 num:57
ave_i:0.0645026 dif_i:0.154027 dura:0.903036 num:15
ave_i:0.0475127 dif_i:0.152971 dura:4.51371 num:96
ave_i:0.0345412 dif_i:0.0725782 dura:1.07078 num:32
ave_i:0.0340281 dif_i:0.0961211 dura:1.56529 num:47
ave_i:0.0989637 dif_i:0.152963 dura:0.395855 num:5
ave_i:0.048206 dif_i:0.189035 dura:3.76007 num:79
ave_i:0.0354901 dif_i:0.0511541 dura:2.09391 num:60
ave_i:0.0318722 dif_i:0.00877905 dura:0.509955 num:17
ave_i:0.0462714 dif_i:0.0621083 dura:0.185086 num:5
ave_i:0.0461017 dif_i:0.0624111 dura:0.184407 num:5
ave_i:0.076804 dif_i:0.0615411 dura:0.307216 num:5
ave_i:0.030192 dif_i:0.011106 dura:1.69075 num:57
ave_i:0.03375 dif_i:0.00690365 dura:0.135 num:5
ave_i:0.0408937 dif_i:0.0168841 dura:0.490724 num:13
ave_i:0.0552761 dif_i:0.0930691 dura:1.43718 num:27
ave_i:0.0340701 dif_i:0.0898659 dura:1.29466 num:39
ave_i:0.0567998 dif_i:0.0769961 dura:0.795197 num:15
ave_i:0.0449117 dif_i:0.062238 dura:2.55997 num:58
ave_i:0.0428746 dif_i:0.0495689 dura:0.214373 num:6
ave_i:0.0315299 dif_i:0.0902081 dura:1.95485 num:63
ave_i:0.0497555 dif_i:0.0159557 dura:0.199022 num:5
ave_i:0.0644586 dif_i:0.092881 dura:0.322293 num:6
ave_i:0.0648315 dif_i:0.10997 dura:1.16697 num:19
ave_i:0.0372912 dif_i:0.0878451 dura:2.75955 num:75
ave_i:0.0315515 dif_i:0.00984621 dura:2.27171 num:73
ave_i:0.0307718 dif_i:0.00600719 dura:0.153859 num:6
ave_i:0.0480018 dif_i:0.15619 dura:2.7361 num:58
ave_i:0.0417453 dif_i:0.0309522 dura:0.793161 num:20
ave_i:0.030174 dif_i:0.0115299 dura:1.56905 num:53
ave_i:0.0377292 dif_i:0.124967 dura:3.28244 num:88
ave_i:0.0464551 dif_i:0.138971 dura:1.44011 num:32
ave_i:0.0400985 dif_i:0.017163 dura:0.721773 num:19
ave_i:0.0455791 dif_i:0.0461082 dura:2.55243 num:57
ave_i:0.0837105 dif_i:0.120185 dura:0.334842 num:5
ave_i:0.0552178 dif_i:0.0770676 dura:0.276089 num:6
ave_i:0.0666465 dif_i:0.0919428 dura:0.399879 num:7
ave_i:0.0470241 dif_i:0.0622039 dura:2.06906 num:45
ave_i:0.0435143 dif_i:0.0319231 dura:0.261086 num:7
ave_i:0.0528882 dif_i:0.0779569 dura:1.90398 num:37
ave_i:0.043801 dif_i:0.0629411 dura:1.57684 num:37
ave_i:0.0958427 dif_i:0.155335 dura:0.383371 num:5
ave_i:0.0469472 dif_i:0.139959 dura:5.44587 num:117
ave_i:0.0583549 dif_i:0.0909798 dura:1.57558 num:28
ave_i:0.0547748 dif_i:0.0309336 dura:0.273874 num:6
ave_i:0.0485781 dif_i:0.0782928 dura:3.06042 num:64
ave_i:0.0503669 dif_i:0.0768969 dura:1.25917 num:26
ave_i:0.0511475 dif_i:0.0449979 dura:0.61377 num:13
ave_i:0.0729998 dif_i:0.0910311 dura:0.291999 num:5
ave_i:0.0509774 dif_i:0.0510941 dura:0.356842 num:8
ave_i:0.0337233 dif_i:0.074966 dura:1.28149 num:39
ave_i:0.0310623 dif_i:0.00605011 dura:0.434873 num:15
ave_i:0.0502483 dif_i:0.12407 dura:2.81391 num:57
ave_i:0.0457649 dif_i:0.0176201 dura:0.320354 num:8
ave_i:0.06192 dif_i:0.0935359 dura:0.24768 num:5
ave_i:0.133538 dif_i:0.168842 dura:0.53415 num:5
ave_i:0.0344367 dif_i:0.160879 dura:3.71916 num:109
